uf,ano,producao,produtividade,area_prod
RO,2001,1910.0,7.80,245000.0
PA,2001,250.0,12.89,19400.0
BA,2001,2190.0,22.91,95600.0
MT,2001,350.0,9.19,38100.0
MG,2001,14690.0,16.49,891100.0
ES,2001,7550.0,14.78,510930.0
RJ,2001,160.0,15.38,10400.0
SP,2001,3520.0,15.75,223470.0
PR,2001,540.0,4.23,127700.0
RO,2002,2100.0,12.73,165000.0
PA,2002,310.0,15.90,19500.0
BA,2002,2300.0,22.33,103000.0
MT,2002,490.0,13.28,36900.0
MG,2002,25140.0,23.50,1070000.0
ES,2002,9325.0,17.63,529000.0
RJ,2002,255.0,20.43,12480.0
SP,2002,5800.0,25.78,225000.0
PR,2002,2340.0,18.28,128000.0
RO,2003,2500.0,13.30,188000.0
PA,2003,220.0,12.22,18000.0
BA,2003,1780.0,18.70,95200.0
MT,2003,430.0,11.91,36100.0
MG,2003,12050.0,12.33,977000.0
ES,2003,6610.0,12.69,521000.0
RJ,2003,130.0,11.82,11000.0
SP,2003,2810.0,13.38,210000.0
PR,2003,1970.0,15.99,123200.0
RO,2004,1760.0,9.36,188000.0
PA,2004,220.0,11.71,18781.0
BA,2004,2279.0,23.57,96710.0
MT,2004,310.0,8.98,34517.0
MG,2004,18777.0,18.75,1001577.0
ES,2004,6795.0,13.38,507786.0
RJ,2004,260.0,18.71,13894.0
SP,2004,5870.0,28.68,204700.0
PR,2004,2526.0,21.57,117105.0
RO,2005,1772.0,10.68,165910.0
PA,2005,330.0,14.60,22600.0
BA,2005,1812.0,18.65,97175.0
MT,2005,310.0,8.99,34500.0
MG,2005,15219.0,14.73,1033533.0
ES,2005,8070.0,16.34,493958.0
RJ,2005,298.0,21.33,13970.0
SP,2005,3223.0,14.58,221040.0
PR,2005,1435.0,13.49,106380.0
RO,2006,1263.0,7.77,162627.0
PA,2006,280.0,13.39,20915.0
BA,2006,2251.0,23.02,97794.0
MT,2006,250.0,7.76,32230.0
MG,2006,21987.0,21.73,1011865.0
ES,2006,9009.0,19.04,473256.0
RJ,2006,264.0,19.13,13800.0
SP,2006,4470.0,21.07,212100.0
PR,2006,2248.0,22.41,100330.0
RO,2007,1482.0,9.67,153281.0
PA,2007,266.0,17.57,15137.0
BA,2007,2342.0,15.43,151792.0
MT,2007,153.0,9.43,16227.0
MG,2007,16473.0,16.21,1016414.0
ES,2007,10306.0,19.91,517729.0
RJ,2007,281.0,20.00,14048.0
SP,2007,2632.0,15.60,168700.0
PR,2007,1732.0,17.70,97842.0
RO,2008,1876.0,12.03,155972.0
PA,2008,233.0,18.04,12917.0
BA,2008,2141.0,17.12,125033.4
MT,2008,138.0,9.20,15007.0
MG,2008,23581.0,22.50,1048172.0
ES,2008,10230.0,20.89,489592.0
RJ,2008,266.4,19.64,13562.0
SP,2008,4420.0,23.45,188495.0
PR,2008,2608.0,26.91,96920.0
RO,2009,1547.0,10.02,154335.0
PA,2009,228.0,18.38,12407.0
BA,2009,1873.5,14.85,126170.0
MT,2009,141.0,9.23,15272.0
MG,2009,19880.0,19.87,1000731.0
ES,2009,10205.0,21.27,479798.0
RJ,2009,265.4,19.06,13923.0
SP,2009,3423.0,18.81,182020.0
PR,2009,1467.0,17.22,85180.0
RO,2010,2369.0,15.31,154783.0
PA,2010,228.6,16.93,13500.0
BA,2010,2292.7,16.43,139550.0
MT,2010,203.1,13.37,15186.0
MG,2010,25155.0,24.99,1006719.0
ES,2010,10147.0,21.90,463307.0
RJ,2010,250.1,19.09,13100.0
SP,2010,4662.0,28.05,166195.0
PR,2010,2284.0,27.65,82613.0
RO,2011,1428.3,9.31,153391.0
PA,2011,184.0,17.61,10448.0
BA,2011,2290.0,16.49,138833.5
MT,2011,137.8,6.93,19884.0
MG,2011,22181.0,22.16,1000869.0
ES,2011,11573.0,25.57,452527.0
RJ,2011,260.0,20.21,12864.0
SP,2011,3111.5,18.35,169538.0
PR,2011,1842.0,24.64,74752.0
RO,2012,1367.0,10.88,125667.0
PA,2012,167.0,16.40,10185.0
BA,2012,2149.6,15.55,138213.0
MT,2012,124.1,5.90,21028.0
GO,2012,247.4,39.15,6320.0
MG,2012,26944.0,26.20,1028425.0
ES,2012,12502.0,27.77,450128.0
RJ,2012,262.2,19.83,13225.0
SP,2012,5356.6,30.59,175137.0
PR,2012,1580.0,23.52,67177.0
RO,2013,1357.0,13.20,102840.0
PA,2013,121.7,19.07,6383.0
BA,2013,1803.3,13.41,134511.1
MT,2013,171.5,8.21,20890.0
GO,2013,265.5,41.60,6382.6
MG,2013,27660.0,26.65,1037797.0
ES,2013,11697.0,25.81,453167.0
RJ,2013,281.0,21.17,13276.0
SP,2013,4010.1,24.70,162328.5
PR,2013,1650.0,25.33,65150.0
RO,2014,1477.3,17.18,86004.0
PA,2014,68.7,15.70,4377.0
BA,2014,2371.3,16.47,143939.0
MT,2014,165.8,8.24,20115.0
GO,2014,236.6,38.55,6136.8
MG,2014,22644.1,22.76,995079.0
ES,2014,12805.7,29.56,433242.0
RJ,2014,292.3,22.87,12783.0
SP,2014,4588.8,22.98,199686.0
PR,2014,558.6,16.80,33251.0
RO,2015,1723.9,19.67,87657.0
PA,2015,16.6,13.35,1243.0
BA,2015,2345.7,16.91,138678.0
MT,2015,127.9,6.34,20189.0
GO,2015,226.2,36.63,6175.0
MG,2015,22302.9,23.02,968872.0
ES,2015,10700.0,24.70,433242.0
RJ,2015,309.6,24.69,12538.0
SP,2015,4063.9,20.42,198971.3
PR,2015,1290.0,28.99,44500.0
RO,2016,1626.9,18.56,87657.0
AM,2016,6.0,13.97,429.4
PA,2016,9.1,14.85,613.0
BA,2016,2093.3,13.98,149753.0
MT,2016,125.4,8.83,14193.0
GO,2016,226.8,40.31,5626.6
MG,2016,30724.1,30.44,1009481.0
ES,2016,8967.4,21.87,410057.0
RJ,2016,347.4,26.68,13022.0
SP,2016,6031.0,29.97,201235.0
PR,2016,1047.0,22.68,46160.0
RO,2017,1938.2,26.10,74255.0
AM,2017,7.5,14.89,503.8
PA,2017,6.4,13.91,460.0
BA,2017,3358.0,23.71,141641.0
MT,2017,91.5,9.57,9563.0
GO,2017,190.2,34.48,5516.0
MG,2017,24445.3,24.92,980762.0
ES,2017,8865.0,22.99,385538.0
RJ,2017,349.0,26.74,13053.0
SP,2017,4411.8,21.99,200629.0
PR,2017,1210.0,27.97,43260.0
RO,2018,1978.3,30.97,63879.0
BA,2018,4550.2,35.00,130000.0
MT,2018,104.2,11.19,9310.0
GO,2018,195.4,33.09,5905.0
MG,2018,33360.4,33.08,1008595.0
ES,2018,13739.0,35.42,387926.0
RJ,2018,346.0,28.76,12030.0
SP,2018,6302.3,31.11,202581.0
PR,2018,1000.0,26.67,37500.0
