ano,valor,regiao
2001,2160.0,NORTE
2002,2410.0,NORTE
2003,2720.0,NORTE
2004,1980.0,NORTE
2005,2102.0,NORTE
2006,1543.0,NORTE
2007,1748.0,NORTE
2008,2109.0,NORTE
2009,1775.0,NORTE
2010,2597.6,NORTE
2011,1612.3,NORTE
2012,1534.0,NORTE
2013,1478.7,NORTE
2014,1546.0,NORTE
2015,1740.5,NORTE
2016,1642.0,NORTE
2017,1952.1,NORTE
2018,1978.3,NORTE
2019,2122.1,NORTE
2001,2190.0,NORDESTE
2002,2300.0,NORDESTE
2003,1780.0,NORDESTE
2004,2279.0,NORDESTE
2005,1812.0,NORDESTE
2006,2251.0,NORDESTE
2007,2342.0,NORDESTE
2008,2141.0,NORDESTE
2009,1873.5,NORDESTE
2010,2292.7,NORDESTE
2011,2290.0,NORDESTE
2012,2149.6,NORDESTE
2013,1803.3,NORDESTE
2014,2371.3,NORDESTE
2015,2345.7,NORDESTE
2016,2093.3,NORDESTE
2017,3358.0,NORDESTE
2018,4550.2,NORDESTE
2019,3036.5,NORDESTE
2001,350.0,CENTRO-OESTE
2002,490.0,CENTRO-OESTE
2003,430.0,CENTRO-OESTE
2004,310.0,CENTRO-OESTE
2005,310.0,CENTRO-OESTE
2006,250.0,CENTRO-OESTE
2007,153.0,CENTRO-OESTE
2008,138.0,CENTRO-OESTE
2009,141.0,CENTRO-OESTE
2010,203.1,CENTRO-OESTE
2011,137.8,CENTRO-OESTE
2012,371.5,CENTRO-OESTE
2013,437.0,CENTRO-OESTE
2014,402.4,CENTRO-OESTE
2015,354.1,CENTRO-OESTE
2016,352.2,CENTRO-OESTE
2017,281.7,CENTRO-OESTE
2018,299.6,CENTRO-OESTE
2019,354.7,CENTRO-OESTE
2001,25920.0,SUDESTE
2002,40520.0,SUDESTE
2003,21600.0,SUDESTE
2004,31702.0,SUDESTE
2005,26810.0,SUDESTE
2006,35730.0,SUDESTE
2007,29692.0,SUDESTE
2008,38497.4,SUDESTE
2009,33773.4,SUDESTE
2010,40214.1,SUDESTE
2011,37125.5,SUDESTE
2012,45064.8,SUDESTE
2013,43648.1,SUDESTE
2014,40330.9,SUDESTE
2015,37376.4,SUDESTE
2016,46069.9,SUDESTE
2017,38071.1,SUDESTE
2018,53747.7,SUDESTE
2019,44201.2,SUDESTE
2001,540.0,SUL
2002,2340.0,SUL
2003,1970.0,SUL
2004,2526.0,SUL
2005,1435.0,SUL
2006,2248.0,SUL
2007,1732.0,SUL
2008,2608.0,SUL
2009,1467.0,SUL
2010,2284.0,SUL
2011,1842.0,SUL
2012,1580.0,SUL
2013,1650.0,SUL
2014,558.6,SUL
2015,1290.0,SUL
2016,1047.0,SUL
2017,1210.0,SUL
2018,1000.0,SUL
2019,1050.0,SUL
2001,140.0,OUTROS
2002,420.0,OUTROS
2003,320.0,OUTROS
2004,475.0,OUTROS
2005,475.0,OUTROS
2006,490.0,OUTROS
2007,404.0,OUTROS
2008,498.6,OUTROS
2009,440.0,OUTROS
2010,503.3,OUTROS
2011,476.6,OUTROS
2012,126.5,OUTROS
2013,134.5,OUTROS
2014,132.7,OUTROS
2015,128.3,OUTROS
2016,164.8,OUTROS
2017,97.1,OUTROS
2018,81.7,OUTROS
2019,152.1,OUTROS

