ano,chuva,temp_max,temp_min,produt.
01,56.77124465,96.13034623,91.15044248,54.49710099
02,64.73065786,94.90835031,94.69026549,71.26933618
03,71.62275349,96.7413442,99.11504425,45.13270911
04,70.81388949,95.31568228,90.26548673,64.73075246
05,62.68217388,98.57433809,91.15044248,44.41691799
06,77.44753153,96.13034623,97.34513274,68.82660787
07,81.59954053,95.51934827,87.61061947,51.83909095
08,76.44004116,98.16700611,88.49557522,70.64238913
09,70.68466269,96.53767821,93.80530973,60.01623593
10,72.56084428,97.14867617,96.46017699,86.18101242
11,100,96.33401222,88.49557522,61.42785297
12,65.85540958,95.11201629,91.15044248,91.48692378
13,57.38626846,97.14867617,95.57522124,76.10999068
14,55.82597459,96.33401222,92.92035398,81.7849709
15,67.43724125,98.3706721,92.03539823,61.35899546
16,59.6764544,100,100,100
17,61.86613061,98.16700611,94.69026549,53.26919136
18,64.41955632,97.14867617,93.80530973,93.32548154
